alarm.status
ovos.audio.play_sound
ovos.audio.playing_track
ovos.audio.queue
ovos.audio.queue_end
ovos.audio.service.get_track_length
ovos.audio.service.get_track_position
ovos.audio.service.list_backends
ovos.audio.service.next
ovos.audio.service.pause
ovos.audio.service.play
ovos.audio.service.prev
ovos.audio.service.queue
ovos.audio.service.resume
ovos.audio.service.seek_backward
ovos.audio.service.seek_forward
ovos.audio.service.set_track_position
ovos.audio.service.stop
ovos.audio.service.track_info
ovos.audio.service.track_info_reply
ovos.audio.speak.status
ovos.audio.speech.stop
ovos.awoken
ovos.common_play.announce
ovos.common_play.featured_tracks.play
ovos.common_play.play
ovos.common_play.player.state
ovos.common_play.query
ovos.common_play.query.response
ovos.common_play.search.stop
ovos.common_play.skill.search_end
ovos.common_play.skill.search_start
ovos.common_play.skills.get
ovos.common_play.stop
ovos.common_play.{self.skill_id}.next
ovos.common_play.{self.skill_id}.pause
ovos.common_play.{self.skill_id}.play
ovos.common_play.{self.skill_id}.previous
ovos.common_play.{self.skill_id}.resume
ovos.common_play.{self.skill_id}.stop
ovos.device.settings
ovos.device.settings.about.page
ovos.device.settings.create.theme
ovos.device.settings.customize
ovos.device.settings.developer
ovos.device.settings.display
ovos.device.settings.factory
ovos.device.settings.homescreen
ovos.device.settings.ssh
ovos.device.show.idle
ovos.ggwave.disable
ovos.ggwave.disabled
ovos.ggwave.enable
ovos.ggwave.enabled
ovos.gui.available
ovos.gui.connected
ovos.gui.force.screenclose
ovos.gui.forceHome
ovos.gui.port
ovos.gui.screen.close
ovos.gui.screen.request.page.back
ovos.gui.unavailable
ovos.homescreen.main_view.current_index.get
ovos.homescreen.main_view.current_index.get.response
ovos.homescreen.main_view.current_index.set
ovos.internet.connected
ovos.internet.disconnected
ovos.internet.is_ready
ovos.internet.is_ready.response
ovos.internet.state
ovos.ipgeo.update
ovos.ipgeo.update.response
ovos.languages.stt
ovos.languages.stt.response
ovos.languages.tts
ovos.languages.tts.response
ovos.mark2.collect_idle
ovos.mark2.register_idle
ovos.mic.get_status
ovos.mic.get_status.response
ovos.mic.listen
ovos.mic.mute
ovos.mic.unmute
ovos.network.connected
ovos.network.disconnected
ovos.network.state
ovos.persona.ask
ovos.persona.ask.response
ovos.persona.deregister
ovos.persona.disable
ovos.persona.enable
ovos.persona.register
ovos.phal.configuration.provider.get.response
ovos.phal.configuration.provider.list.groups.response
ovos.phal.gui.display.connected.network.settings
ovos.phal.gui.display.disconnected.network.settings
ovos.phal.gui.network.client.back
ovos.phal.gui.network.client.internal.back
ovos.phal.nm.connect
ovos.phal.nm.connect.open.network
ovos.phal.nm.connection.failure
ovos.phal.nm.connection.successful
ovos.phal.nm.disconnect
ovos.phal.nm.disconnection.failure
ovos.phal.nm.disconnection.successful
ovos.phal.nm.forget
ovos.phal.nm.forget.failure
ovos.phal.nm.forget.successful
ovos.phal.nm.get.connected
ovos.phal.nm.is.connected
ovos.phal.nm.is.not.connected
ovos.phal.nm.reconnect
ovos.phal.nm.scan
ovos.phal.nm.scan.complete
ovos.phal.plugin.homeassistant.assist.intent
ovos.phal.plugin.homeassistant.assist.intent.response
ovos.phal.plugin.homeassistant.call.supported.function
ovos.phal.plugin.homeassistant.call.supported.function.response
ovos.phal.plugin.homeassistant.change.dashboard
ovos.phal.plugin.homeassistant.check_connected
ovos.phal.plugin.homeassistant.decrease.light.brightness
ovos.phal.plugin.homeassistant.decrease.light.brightness.response
ovos.phal.plugin.homeassistant.device.state.updated
ovos.phal.plugin.homeassistant.device.turn_off
ovos.phal.plugin.homeassistant.device.turn_off.response
ovos.phal.plugin.homeassistant.device.turn_on
ovos.phal.plugin.homeassistant.device.turn_on.response
ovos.phal.plugin.homeassistant.device.updated
ovos.phal.plugin.homeassistant.get.device
ovos.phal.plugin.homeassistant.get.device.display.list.model
ovos.phal.plugin.homeassistant.get.device.display.list.model.response
ovos.phal.plugin.homeassistant.get.device.display.model
ovos.phal.plugin.homeassistant.get.device.display.model.response
ovos.phal.plugin.homeassistant.get.device.response
ovos.phal.plugin.homeassistant.get.devices
ovos.phal.plugin.homeassistant.get.devices.response
ovos.phal.plugin.homeassistant.get.light.brightness
ovos.phal.plugin.homeassistant.get.light.brightness.response
ovos.phal.plugin.homeassistant.get.light.color
ovos.phal.plugin.homeassistant.get.light.color.response
ovos.phal.plugin.homeassistant.increase.light.brightness
ovos.phal.plugin.homeassistant.increase.light.brightness.response
ovos.phal.plugin.homeassistant.integration.query_media
ovos.phal.plugin.homeassistant.integration.query_media.result
ovos.phal.plugin.homeassistant.ready
ovos.phal.plugin.homeassistant.set.group.display.settings
ovos.phal.plugin.homeassistant.set.light.brightness
ovos.phal.plugin.homeassistant.set.light.brightness.response
ovos.phal.plugin.homeassistant.set.light.color
ovos.phal.plugin.homeassistant.set.light.color.response
ovos.phal.plugin.homeassistant.setup.instance
ovos.phal.plugin.homeassistant.show.area.dashboard
ovos.phal.plugin.homeassistant.show.device.dashboard
ovos.phal.plugin.homeassistant.start.oauth.flow
ovos.phal.plugin.homeassistant.update.area.dashboard
ovos.phal.plugin.homeassistant.update.device.dashboard
ovos.phal.plugin.homeasssistant.check_connected.response
ovos.phal.wallpaper.manager.provider.registered
ovos.phal.wifi.plugin.activate.{clientID}
ovos.phal.wifi.plugin.activate.{client_id}
ovos.phal.wifi.plugin.activate.{self.client_id}
ovos.phal.wifi.plugin.alive
ovos.phal.wifi.plugin.client.deregistered
ovos.phal.wifi.plugin.client.registered
ovos.phal.wifi.plugin.client.registration.failure
ovos.phal.wifi.plugin.client.select
ovos.phal.wifi.plugin.client.select.page.removed
ovos.phal.wifi.plugin.client.setup.failure
ovos.phal.wifi.plugin.deactivate.{clientID}
ovos.phal.wifi.plugin.deactivate.{self.client_id}
ovos.phal.wifi.plugin.deregister.client
ovos.phal.wifi.plugin.fully_offline
ovos.phal.wifi.plugin.get.registered.clients
ovos.phal.wifi.plugin.register.client
ovos.phal.wifi.plugin.registered.clients
ovos.phal.wifi.plugin.remove.active.client
ovos.phal.wifi.plugin.set.active.client
ovos.phal.wifi.plugin.setup.completed
ovos.phal.wifi.plugin.setup.failed
ovos.phal.wifi.plugin.setup.launched
ovos.phal.wifi.plugin.skip.setup
ovos.phal.wifi.plugin.status
ovos.phal.wifi.plugin.status,response
ovos.phal.wifi.plugin.status.response
ovos.phal.wifi.plugin.stop.setup.event
ovos.phal.wifi.plugin.user.activated
ovos.pip.install
ovos.pip.install.complete, ovos.pip.install.failed
ovos.pip.uninstall
ovos.pip.uninstall.complete, ovos.pip.uninstall.failed
ovos.ready
ovos.setup.finished
ovos.setup.state
ovos.setup.state.get
ovos.shell.exec.factory.reset
ovos.shell.oauth.display.qr.code
ovos.shell.oauth.register.credentials
ovos.shell.oauth.start.authentication
ovos.shell.status.ok
ovos.skill.disable_intent
ovos.skill.enable_intent
ovos.skill.remove_cross_context
ovos.skill.set_cross_context
ovos.skills.abort_question
ovos.skills.error
ovos.skills.fallback
ovos.skills.fallback.deregister
ovos.skills.fallback.ping
ovos.skills.fallback.pong
ovos.skills.fallback.register
ovos.skills.fallback.skill_id
ovos.skills.fallback.skill_id.request
ovos.skills.fallback.skill_id.response
ovos.skills.fallback.skill_id.start
ovos.skills.fallback.{skill_id}.request
ovos.skills.fallback.{skill_id}.response
ovos.skills.initialized
ovos.skills.install
ovos.skills.install.complete
ovos.skills.install.complete, ovos.skills.install.failed
ovos.skills.install.failed
ovos.skills.is_ready
ovos.skills.list
ovos.skills.loaded
ovos.skills.loading_failure
ovos.skills.pip.install.complete
ovos.skills.pip.install.failed
ovos.skills.pip.uninstall.complete
ovos.skills.pip.uninstall.failed
ovos.skills.settings.changed
ovos.skills.settings_changed
ovos.skills.shutdown
ovos.skills.trained
ovos.skills.uninstall
ovos.skills.uninstall.complete
ovos.skills.uninstall.failed
ovos.speech.recognition.unknown
ovos.stop
ovos.stop.handled
ovos.utterance.cancelled
ovos.utterance.handled
ovos.volume.decrease
ovos.volume.get
ovos.volume.get.response
ovos.volume.increase
ovos.volume.mute
ovos.volume.mute.toggle
ovos.volume.set
ovos.volume.unmute
ovos.wallpaper.manager.auto.rotation.disabled
ovos.wallpaper.manager.auto.rotation.enabled
ovos.wallpaper.manager.change.wallpaper
ovos.wallpaper.manager.collect.collection.response
ovos.wallpaper.manager.disable.auto.rotation
ovos.wallpaper.manager.enable.auto.rotation
ovos.wallpaper.manager.get.active.provider
ovos.wallpaper.manager.get.auto.rotation
ovos.wallpaper.manager.get.collection
ovos.wallpaper.manager.get.collection.from.provider
ovos.wallpaper.manager.get.provider.config
ovos.wallpaper.manager.get.provider.config.response
ovos.wallpaper.manager.get.registered.providers
ovos.wallpaper.manager.get.wallpaper
ovos.wallpaper.manager.loaded
ovos.wallpaper.manager.register.provider
ovos.wallpaper.manager.set.active.provider
ovos.wallpaper.manager.set.wallpaper
ovos.wallpaper.manager.setup.default.provider
ovos.wallpaper.manager.update.collection
ovos.wifi.setup.completed
ovos_gui_plugin_shell_companion.{msg_type}
padatious:register_entity
padatious:register_intent
query.next.alarm
question:action
question:query
question:query.response
question:query.timeout
recognizer_loop:audio_output_end
recognizer_loop:audio_output_start
recognizer_loop:hotword
recognizer_loop:record_begin
recognizer_loop:record_end
recognizer_loop:record_stop
recognizer_loop:sleep
recognizer_loop:speech.recognition.unknown
recognizer_loop:state
recognizer_loop:state.get
recognizer_loop:state.set
recognizer_loop:stopword
recognizer_loop:utterance
recognizer_loop:wake_up
recognizer_loop:wakeupword
recognizer_loop:wakeword
screen.close.idle.event
show.alarms.overview
skill.converse.get_response.disable
skill.converse.get_response.enable
skill.converse.ping
skill.converse.pong
skill.converse.request
skill.converse.response
skill.idle.displayed
skillmanager.activate
skillmanager.activate.response
skillmanager.deactivate
skillmanager.deactivate.response
skillmanager.keep
skillmanager.list
smartspeaker.extension.extend.about
snooze
speaker.extension.display.auto.dim.changed
speaker.extension.display.auto.nightmode.changed
speaker.extension.display.set.auto.dim
speaker.extension.display.set.auto.nightmode
speaker.extension.display.set.wallpaper.rotation
speaker.extension.display.wallpaper.rotation.changed
start.timer
status.timer
stop
system.configure.language
system.configure.language.complete
system.display.homescreen
system.factory.reset
system.factory.reset.complete
system.factory.reset.phal
system.factory.reset.phal.complete
system.factory.reset.ping
system.factory.reset.register
system.factory.reset.start
system.ntp.sync
system.ntp.sync.complete
system.ovos.service.restart
system.reboot
system.shutdown
system.ssh.disable
system.ssh.enable
system.ssh.status
system.ssh.status.response
timer.status
{
    "type": "ovos.events.triggered",
    "namespace": "ovos_gui_plugin_shell_companion",
    "event_name": MSG_TYPE,
    "data": {}
}
{active_homescreen_id}.idle
{namespace}.speaker.extension.display.set.auto.dim
{namespace}.speaker.extension.display.set.auto.nightmode
{namespace}.speaker.extension.display.set.wallpaper.rotation
{self.skill_id}.activate
{self.skill_id}.converse.get_response
{self.skill_id}.converse.ping
{self.skill_id}.converse.request
{self.skill_id}.deactivate
{self.skill_id}.idle
{self.skill_id}.public_api
{self.skill_id}.public_api.response
{skill_id}.converse.get_response
{skill_id}.converse.request
